||rk||2 / ||r0|||2;||ek||A
0.608135;232.244
0.408854;192.048
0.318739;168.514
0.266737;151.782
0.239747;140.341
0.212512;131.658
0.183113;123.866
0.169709;117.415
0.155618;112.017
0.139675;107.084
0.132145;102.764
0.122828;98.9648
0.113312;95.4296
0.10848;92.2519
0.101677;89.3659
0.0955975;86.6473
0.0920375;84.1581
0.0866949;81.8478
0.0827847;79.6583
0.0801033;77.633
0.0760555;75.7271
0.0734548;73.9046
0.0714874;72.1904
0.0695253;70.5216
0.070732;68.8257
0.0745856;66.9949
0.0805653;64.7917
0.0863487;62.0836
0.0840827;59.1315
0.0751678;56.4357
0.0678478;54.2442
0.0641637;52.3085
0.0622218;50.4
0.0623063;48.5557
0.0682403;46.4734
0.0674033;43.8206
0.0573785;41.6589
0.0619843;39.5963
0.0517575;37.3407
0.0486388;35.8996
0.0487766;33.8919
0.0379562;32.6252
0.0435268;31.2604
0.0344376;30.1056
0.0367222;29.0936
0.0304642;28.1383
0.0333214;27.2096
0.0279346;26.3933
0.0273423;25.6438
0.0246968;25.0398
0.0245482;24.39
0.0232026;23.8691
0.0230909;23.2636
0.0215313;22.764
0.0180215;22.3313
0.0180928;21.9797
0.0160061;21.6648
0.0157684;21.372
0.0157963;21.1034
0.0151078;20.805
0.0156532;20.5379
0.0162572;20.2373
0.0189882;19.863
0.0220573;19.3697
0.0248839;18.6084
0.0244555;17.7899
0.0221219;17.0194
0.023117;16.2525
0.0228319;15.4653
0.0193506;14.7063
0.0153539;14.2177
0.0139611;13.857
0.0154191;13.4542
0.0140046;13.0451
0.0116113;12.729
0.0122117;12.4674
0.0117339;12.1759
0.00963694;11.9403
0.00916148;11.7719
0.00877556;11.5972
0.00795514;11.4463
0.00699464;11.3243
0.00651897;11.2257
0.0067261;11.1334
0.00577096;11.0477
0.00589185;10.9749
0.00614775;10.8933
0.00608062;10.8104
0.00622764;10.7227
0.00621912;10.637
0.00586939;10.5479
0.0056117;10.4761
0.00580007;10.3992
0.00611624;10.3159
0.00596972;10.2274
0.00563174;10.1467
0.00538866;10.0684
0.00520452;10.0009
0.00518514;9.93293
0.00538659;9.8641
0.00490542;9.79673
0.00475623;9.73717
0.00448345;9.6841
0.00416715;9.63512
0.00404116;9.59252
0.00411291;9.54906
0.00441235;9.50334
0.00470183;9.45047
0.00463556;9.39488
0.00440963;9.33994
0.00498456;9.28249
0.00547977;9.21213
0.00562702;9.12579
0.00571684;9.04064
0.00585166;8.94825
0.00619686;8.84534
0.00588527;8.74287
0.0057146;8.64567
0.00596573;8.5504
0.00592888;8.44083
0.00582013;8.33366
0.00597683;8.22827
0.00588902;8.12313
0.00581953;8.02404
0.00582739;7.91313
0.00602414;7.80232
0.00647374;7.67337
0.00638148;7.53561
0.00626606;7.40837
0.00659653;7.27384
0.00735182;7.10146
0.00692534;6.92161
0.00740024;6.74215
0.00702297;6.54904
0.00640945;6.3717
0.0061533;6.2168
0.00573679;6.07831
0.0051284;5.95245
0.0053984;5.83842
0.0052557;5.7181
0.00504453;5.60358
0.00482432;5.49884
0.00468683;5.38857
0.00422528;5.2943
0.00391618;5.21572
0.00353471;5.15006
0.00316411;5.09552
0.0031184;5.0484
0.00317795;4.99909
0.00301476;4.95093
0.00268833;4.91074
0.0026163;4.87701
0.00254555;4.84287
0.00239523;4.8097
0.00239631;4.78075
0.00229686;4.75218
0.00206038;4.7273
0.00199961;4.70539
0.00192155;4.68476
0.0018268;4.66716
0.00183613;4.64852
0.00174859;4.63131
0.00186381;4.61407
0.00187372;4.5945
0.00196775;4.57614
0.0022242;4.55109
0.00232564;4.52281
0.00262146;4.48726
0.00280261;4.4464
0.00346266;4.39128
0.00349114;4.31925
0.00384439;4.24206
0.0037943;4.14669
0.00378347;4.06443
0.00333035;3.98114
0.00313889;3.91799
0.00292714;3.85592
0.00280195;3.8059
0.00262083;3.75596
0.00237649;3.71747
0.00222968;3.68098
0.00213693;3.65246
0.00214482;3.62061
0.00207174;3.59314
0.00184362;3.56524
0.0017088;3.54546
0.00171622;3.52409
0.00161995;3.50495
0.00159621;3.48562
0.00175898;3.46632
0.00186295;3.43865
0.00193483;3.4133
0.00192028;3.38298
0.00183507;3.35665
0.00163489;3.33499
0.00171646;3.31367
0.00161175;3.29393
0.00173108;3.27249
0.00171646;3.25166
0.00166332;3.23083
0.0017326;3.21012
0.00169062;3.18706
0.00180084;3.16444
0.00177103;3.13764
0.0017833;3.11328
0.00176252;3.0863
0.0017926;3.06067
0.00183974;3.03383
0.0018806;3.00473
0.00211591;2.97117
0.00212081;2.92865
0.00233046;2.88741
0.00234569;2.83855
0.00229211;2.79018
0.00221638;2.74608
0.00224069;2.69859
0.00213434;2.65277
0.00186364;2.61406
0.00175678;2.57938
0.00152992;2.55441
0.0014703;2.53238
0.00137774;2.51401
0.00125469;2.49791
0.00115091;2.48426
0.00104814;2.47203
0.000947159;2.46175
0.000918638;2.45262
0.000905633;2.44383
0.000886131;2.43579
0.000903431;2.42739
0.00095503;2.41808
0.000886975;2.40925
0.000945486;2.39995
0.000899283;2.39123
0.000893985;2.3823
0.000879161;2.37475
0.000803246;2.36749
0.000832707;2.36079
0.000804981;2.35402
0.000743303;2.34798
0.000788626;2.34179
0.000749243;2.33542
0.000709037;2.32954
0.0006695;2.32422
0.000636993;2.31943
0.000616146;2.31518
0.000612881;2.31121
0.000610787;2.30687
0.000609608;2.30292
0.000605032;2.29893
0.000579278;2.29531
0.000539703;2.29209
0.00048201;2.28934
0.00044447;2.28716
0.000421517;2.28512
0.000406596;2.28329
0.000411452;2.28146
0.000400399;2.27966
0.000437694;2.27763
0.000445536;2.27545
0.000485925;2.27302
0.000548823;2.27016
0.000550803;2.26681
0.00054484;2.26372
0.000609302;2.26022
0.000642354;2.25611
0.000635075;2.25169
0.000672893;2.24682
0.000689131;2.24176
0.000676782;2.23628
0.000722384;2.23088
0.000736139;2.22471
0.000841911;2.21735
0.000923236;2.20827
0.000955953;2.1974
0.00106382;2.18566
0.00105714;2.17265
0.00105995;2.15911
0.00104839;2.1465
0.000962725;2.13514
0.00100083;2.12436
0.000908406;2.11421
0.000832508;2.10554
0.000750228;2.09795
0.00064354;2.09179
0.000599488;2.08704
0.000557925;2.08274
0.000570657;2.07873
0.000544501;2.07481
0.000524482;2.07126
0.000526585;2.06775
0.00054334;2.0642
0.000560819;2.06032
0.000570836;2.05652
0.000567926;2.05279
0.000580717;2.04917
0.000569858;2.04529
0.00054175;2.04152
0.000504878;2.03812
0.000489766;2.03512
0.000476174;2.03249
0.000477585;2.02987
0.000455529;2.0274
0.000449062;2.02481
0.000442022;2.02236
0.000440366;2.01986
0.000442184;2.01734
0.000493899;2.01464
0.000532198;2.01125
0.00060047;2.00745
0.000650217;2.00307
0.000776377;1.99655
0.000818882;1.98882
0.000892017;1.97978
0.000983047;1.96818
0.00100295;1.95529
0.000986465;1.94139
0.00105224;1.92817
0.00103665;1.91555
0.0010518;1.90208
0.00107102;1.88734
0.00104058;1.87072
0.00100952;1.85697
0.00100268;1.84333
0.00088857;1.83037
0.000906832;1.8191
0.000853193;1.80819
0.000855708;1.79842
0.00080743;1.78925
0.000733583;1.78159
0.000646517;1.77533
0.000518648;1.77027
0.000425314;1.76723
0.0003732;1.76492
0.000338891;1.76331
0.000298135;1.76185
0.000288041;1.76075
0.000269716;1.75967
0.000276585;1.75856
0.000293031;1.75737
0.000317087;1.75597
0.000366976;1.75425
0.00041163;1.75194
0.000452633;1.74917
0.000467899;1.74606
0.000535433;1.74265
0.000578743;1.73867
0.000621488;1.73361
0.000648224;1.72753
0.00071149;1.72042
0.000761743;1.71187
0.000798435;1.70225
0.000807845;1.69183
0.000844792;1.68138
0.000827714;1.67145
0.000820859;1.66182
0.00080142;1.65218
0.000770055;1.64348
0.000763798;1.63394
0.000736034;1.62491
0.000691408;1.61638
0.00064966;1.60884
0.000581147;1.60306
0.000553984;1.59833
0.000485019;1.59429
0.000447881;1.59087
0.000402416;1.58803
0.000379518;1.58554
0.000357852;1.58338
0.000335623;1.58139
0.000333709;1.57955
0.000324889;1.57791
0.000311143;1.5764
0.000303518;1.57494
0.00029553;1.57351
0.000285444;1.57203
0.000286481;1.57071
0.000285273;1.56932
0.000306194;1.56779
0.000312831;1.56617
0.000336068;1.56455
0.000365344;1.56281
0.000391617;1.56077
0.00041233;1.55806
0.000469103;1.55469
0.000559258;1.55051
0.000619184;1.5448
0.000704352;1.53811
0.00073312;1.53004
0.000744693;1.52113
0.000727815;1.51175
0.000742424;1.5019
0.000751193;1.49181
0.000790384;1.48119
0.000749499;1.47124
0.000715681;1.46225
0.000687394;1.45459
0.000627018;1.44782
0.000519798;1.44205
0.00045954;1.43764
0.000405122;1.43403
0.000394813;1.43106
0.000362494;1.42867
0.00032535;1.4268
0.00027754;1.42521
0.000248259;1.42395
0.000230064;1.42293
0.000229267;1.42196
0.000233479;1.42107
0.000236245;1.42025
0.000250815;1.41922
0.000257813;1.41805
0.000257979;1.41682
0.000267394;1.41561
0.00028954;1.41428
